window,window_note,variant,n_years,mean_rate_etage_pct,coverage_pct_etage,mean_m2_etage_per_yr,mean_rate_total_pct,coverage_pct_total,mean_m2_total_per_yr
2011-2025,full denominator era,D4,15,0.2608287767946087,59.41597893777531,1751489.0666666667,0.2151625010327588,59.418088535601576,1627424.6666666667
2011-2025,full denominator era,D4-exdisc,15,0.06663760887076185,41.91784879490531,448094.13333333336,0.0535280896086781,41.98224070985647,405989.8
2011-2025,full denominator era,D5,15,0.2608287767946087,59.42562078212068,1751489.0666666667,0.2151625010327588,59.44107180238644,1627424.6666666667
2011-2025,full denominator era,D5-exdisc,15,0.06663760887076185,41.65664461815995,448094.13333333336,0.0535280896086781,41.72203848466627,405989.8
2011-2025,full denominator era,D6,15,0.32191941742025276,59.74944171890223,2161516.2666666666,0.2652058048612938,59.74771729852303,2006339.4666666666
2011-2025,full denominator era,D6-exdisc,15,0.08085076040185084,42.25639943833927,543991.2666666667,0.06529603088409597,42.32232205836789,495749.4666666667
2012-2023,BUILD anchor ~0.3%/yr (their numerator: pre-1999 buildings only),D1,12,0.45135034722042877,44.54210741092267,3017100.0833333335,0.378548783021668,44.58176866256757,2839282.3333333335
2012-2023,BUILD anchor ~0.3%/yr (their numerator: pre-1999 buildings only),D1-exdisc,12,0.08925437868227366,22.73366395267666,597500.1666666666,0.0729034071784125,22.826299125590136,548552.3333333334
2012-2023,BUILD anchor ~0.3%/yr (their numerator: pre-1999 buildings only),D2,12,0.15510139965038583,27.921278122867804,1053113.5833333333,0.12692016584376206,27.777728549529034,972911.1666666666
2012-2023,BUILD anchor ~0.3%/yr (their numerator: pre-1999 buildings only),D2-exdisc,12,0.03931160419919625,21.86440219961358,267088.5833333333,0.03116537374701951,21.734019699242026,239431.41666666666
2012-2023,BUILD anchor ~0.3%/yr (their numerator: pre-1999 buildings only),D3,12,0.12698951790871388,58.59086530743297,862506.6666666666,0.10445775661849484,58.566784395569115,801205.75
2012-2023,BUILD anchor ~0.3%/yr (their numerator: pre-1999 buildings only),D3-exdisc,12,0.033800761173033565,44.023211404378785,229676.5,0.027021203271258232,44.07206193655352,207612.08333333334
2012-2023,BUILD anchor ~0.3%/yr (their numerator: pre-1999 buildings only),D4,12,0.2656597288413221,59.41597893777531,1775509.1666666667,0.21945401931587502,59.418088535601576,1646345.8333333333
2012-2023,BUILD anchor ~0.3%/yr (their numerator: pre-1999 buildings only),D4-exdisc,12,0.06608444768351829,41.91784879490531,441959.8333333333,0.053095648410762114,41.98224070985647,398969.0
2012-2023,BUILD anchor ~0.3%/yr (their numerator: pre-1999 buildings only),D5,12,0.2656597288413221,59.42562078212068,1775509.1666666667,0.21945401931587502,59.44107180238644,1646345.8333333333
2012-2023,BUILD anchor ~0.3%/yr (their numerator: pre-1999 buildings only),D5-exdisc,12,0.06608444768351829,41.65664461815995,441959.8333333333,0.053095648410762114,41.72203848466627,398969.0
2012-2023,BUILD anchor ~0.3%/yr (their numerator: pre-1999 buildings only),D6,12,0.30746338800072975,59.74944171890223,2055082.4166666667,0.25308115518314284,59.74771729852303,1898646.5
2012-2023,BUILD anchor ~0.3%/yr (their numerator: pre-1999 buildings only),D6-exdisc,12,0.07519750064548988,42.25639943833927,503378.6666666667,0.06063201749213823,42.32232205836789,456120.5833333333
2018-2025,article clean-years window — HEADLINE window (decided 2026-07-12),D1,8,0.44090874229705324,44.54210741092267,3011971.0,0.3673311720028256,44.58176866256757,2843598.5
2018-2025,article clean-years window — HEADLINE window (decided 2026-07-12),D1-exdisc,8,0.10371313377570561,22.73366395267666,709963.5,0.08456988534656343,22.826299125590136,658245.75
2018-2025,article clean-years window — HEADLINE window (decided 2026-07-12),D2,8,0.29777492850401244,27.921278122867804,2036985.5,0.243721458501569,27.777728549529034,1893268.0
2018-2025,article clean-years window — HEADLINE window (decided 2026-07-12),D2-exdisc,8,0.07863525541787508,21.86440219961358,538292.75,0.06270050762822149,21.734019699242026,488059.25
2018-2025,article clean-years window — HEADLINE window (decided 2026-07-12),D3,8,0.2500763472342432,58.59086530743297,1711352.375,0.20532664790437224,58.566784395569115,1596299.875
2018-2025,article clean-years window — HEADLINE window (decided 2026-07-12),D3-exdisc,8,0.06881268478631639,44.023211404378785,471176.5,0.05509500025670849,44.07206193655352,429100.125
2018-2025,article clean-years window — HEADLINE window (decided 2026-07-12),D4,8,0.27026620500377047,59.41597893777531,1848843.25,0.22203283010385974,59.418088535601576,1724617.375
2018-2025,article clean-years window — HEADLINE window (decided 2026-07-12),D4-exdisc,8,0.07223310353129742,41.91784879490531,494508.375,0.05783718241770485,41.98224070985647,450285.25
2018-2025,article clean-years window — HEADLINE window (decided 2026-07-12),D5,8,0.27026620500377047,59.42562078212068,1848843.25,0.22203283010385974,59.44107180238644,1724617.375
2018-2025,article clean-years window — HEADLINE window (decided 2026-07-12),D5-exdisc,8,0.07223310353129742,41.65664461815995,494508.375,0.05783718241770485,41.72203848466627,450285.25
2018-2025,article clean-years window — HEADLINE window (decided 2026-07-12),D6,8,0.3353832729659506,59.74944171890223,2294835.0,0.27582816022113493,59.74771729852303,2143689.0
2018-2025,article clean-years window — HEADLINE window (decided 2026-07-12),D6-exdisc,8,0.09160814171852971,42.25639943833927,627083.375,0.07414206304600693,42.32232205836789,576987.75
