indicator,indicator_name,use_code,building_use_group,last_use_discontinued,stock_buildings,demolished_buildings,demolition_rate_pct,demolished_buildings_with_area,demolished_area_coverage_pct,demolished_m2_total,median_demolished_m2_total
D1,Historical status,121,Housing,false,1413,21,1.48619957537155,21,100.0,2138,81.0
D1,Historical status,535,Leisure,false,5355,77,1.4379084967320261,77,100.0,23446,182.0
D1,Historical status,,,false,28915,383,1.3245720214421581,0,0.0,0,
D1,Historical status,533,Leisure,false,2929,38,1.297371116421987,38,100.0,38045,956.5
D1,Historical status,413,Institutions,false,463,6,1.2958963282937366,6,100.0,2742,284.0
D1,Historical status,140,Housing,false,177204,1888,1.0654387034152728,1888,100.0,1323071,214.0
D1,Historical status,132,Housing,false,40884,281,0.6873104392916545,281,100.0,40797,120.0
D1,Historical status,414,Institutions,false,3776,24,0.6355932203389831,24,100.0,8274,189.5
D1,Historical status,131,Housing,false,118804,748,0.6296084306925692,748,100.0,146461,112.0
D1,Historical status,122,Housing,false,271,1,0.36900369003690037,1,100.0,66,66.0
D1,Historical status,523,Leisure,false,1603,0,0.0,0,,0,
D2,Demolition business process,210,Agriculture,true,104897,34138,32.544305366216385,5777,16.922491065674613,1317876,149.0
D2,Demolition business process,310,Transport,true,3350,871,26.0,139,15.958668197474168,38453,141.0
D2,Demolition business process,390,Commerce & services,true,1597,330,20.66374452097683,76,23.03030303030303,10675,53.0
D2,Demolition business process,220,Production & energy,true,18284,3757,20.548020126886897,423,11.25898323130157,251601,246.0
D2,Demolition business process,290,Production & energy,true,4409,822,18.643683374914946,123,14.963503649635038,37518,105.0
D2,Demolition business process,490,Institutions,true,2059,368,17.87275376396309,62,16.847826086956523,20652,197.0
D2,Demolition business process,520,Leisure,true,1116,179,16.03942652329749,32,17.877094972067038,3093,54.0
D2,Demolition business process,230,Production & energy,true,5145,809,15.724003887269195,104,12.855377008652658,13985,63.0
D2,Demolition business process,440,Institutions,true,5333,817,15.319707481717607,231,28.274173806609546,62119,204.0
D2,Demolition business process,330,Commerce & services,true,6038,864,14.309373964889035,116,13.425925925925927,29692,161.5
D2,Demolition business process,320,Commerce & services,true,34225,4893,14.296566837107378,735,15.021459227467812,455815,264.0
D2,Demolition business process,530,Leisure,true,3969,512,12.899974804736711,107,20.8984375,42439,160.0
D2,Demolition business process,420,Institutions,true,11989,1512,12.611560597214114,311,20.56878306878307,181530,189.0
D2,Demolition business process,410,Institutions,true,3110,357,11.479099678456592,70,19.607843137254903,27011,212.0
D2,Demolition business process,430,Institutions,true,1861,175,9.403546480386888,51,29.142857142857142,76423,624.0
D2,Demolition business process,130,Housing,true,178208,1521,0.8534970371700484,529,34.779750164365545,91288,105.0
D2,Demolition business process,214,Agriculture,false,28064,3073,10.94997149372862,3069,99.86983403839896,1077414,208.0
D2,Demolition business process,215,Agriculture,false,5190,451,8.689788053949904,446,98.89135254988913,828978,720.0
D2,Demolition business process,315,Transport,false,245,15,6.122448979591836,15,100.0,10177,241.0
D2,Demolition business process,110,Housing,false,148257,8814,5.945081851109897,3747,42.51191286589517,508248,126.0
D2,Demolition business process,510,Leisure,false,307349,14545,4.73240518108079,7424,51.04159504984531,453196,56.0
D2,Demolition business process,990,Outbuildings & other,false,782,36,4.603580562659847,16,44.44444444444444,4018,112.0
D2,Demolition business process,590,Leisure,false,20830,936,4.493518963034085,405,43.269230769230774,59404,67.0
D2,Demolition business process,190,Housing,false,9266,386,4.165767321390028,182,47.15025906735752,24214,88.5
D2,Demolition business process,211,Agriculture,false,40953,1687,4.119356335311211,1670,98.9922940130409,490316,224.0
D2,Demolition business process,910,Outbuildings & other,false,589301,21205,3.598330903901402,198,0.9337420419712331,13660,54.0
D2,Demolition business process,216,Agriculture,false,45150,1576,3.4905869324473975,1565,99.30203045685279,343787,170.0
D2,Demolition business process,325,Commerce & services,false,3388,118,3.4828807556080283,118,100.0,21098,139.5
D2,Demolition business process,930,Outbuildings & other,false,1230748,42859,3.482353820603405,1216,2.837210387549873,152196,96.5
D2,Demolition business process,970,Agriculture,false,126311,4392,3.4771318412489807,4262,97.04007285974498,115283,0.0
D2,Demolition business process,160,Housing,false,9610,332,3.4547346514047867,114,34.33734939759036,110105,450.5
D2,Demolition business process,212,Agriculture,false,41471,1417,3.4168455064985173,1406,99.22371206774876,382297,208.0
D2,Demolition business process,150,Housing,false,3288,112,3.40632603406326,58,51.78571428571429,49031,292.0
D2,Demolition business process,234,Production & energy,false,2967,101,3.404111897539602,101,100.0,24417,64.0
D2,Demolition business process,213,Agriculture,false,6454,205,3.1763247598388595,204,99.51219512195122,34869,67.0
D2,Demolition business process,313,Transport,false,9834,302,3.0709782387634736,300,99.33774834437085,95838,167.0
D2,Demolition business process,229,Production & energy,false,7569,231,3.0519223147047168,228,98.7012987012987,47361,100.0
D2,Demolition business process,233,Production & energy,false,5344,162,3.031437125748503,160,98.76543209876543,18202,39.5
D2,Demolition business process,324,Commerce & services,false,629,19,3.0206677265500796,18,94.73684210526315,120627,1437.5
D2,Demolition business process,323,Commerce & services,false,63861,1917,3.0018321041010947,1898,99.00886802295254,1228158,232.5
D2,Demolition business process,218,Agriculture,false,10468,314,2.99961788307222,312,99.36305732484077,87141,192.0
D2,Demolition business process,322,Commerce & services,false,23910,708,2.9611041405269765,687,97.03389830508475,524258,385.0
