scope,column,label,role,row_count,null_count,null_pct,zero_count,negative_count,nonpositive_count,unusable_count,unusable_pct,positive_count,min_m2,mean_m2,median_m2,p95_m2,p99_m2,max_m2,sum_m2
currently_effective_not_status_10,byg042ArealIndbyggetGarage,Integrated garage,supplementary,5804983,5708952,98.34571436298779,2342,3399,5741,5714693,98.44461215476427,90290,-177,42.505295165102936,41.0,82.0,129.0,37236,4081826
currently_effective_not_status_10,byg043ArealIndbyggetCarport,Integrated carport,supplementary,5804983,5699268,98.178892169021,1870,2796,4666,5703934,98.25927138804713,101049,-140,30.187740623374168,30.0,54.0,72.0,1153,3191297
currently_effective_not_status_10,byg044ArealIndbyggetUdhus,Integrated outbuilding,supplementary,5804983,5402716,93.07031562366332,4585,6595,11180,5413896,93.26290878026688,391087,-744,14.444035926387201,10.0,37.0,100.0,1174,5810359
currently_effective_not_status_10,byg045ArealIndbyggetUdestueEllerLign,Integrated conservatory,supplementary,5804983,5575433,96.04563872107808,7792,9510,17302,5592735,96.34369299617242,212248,-608,19.172925288608145,19.0,36.0,57.0,2280,4401145
currently_effective_not_status_10,byg046SamletArealAfLukkedeOverdækningerPåBygningen,Closed covered area,supplementary,5804983,5800489,99.92258375261392,96,67,163,5800652,99.92539168504025,4331,-557,74.13595905651981,20.0,320.0,600.0,4641,333167
currently_effective_not_status_10,byg047ArealAfAffaldsrumITerrænniveau,Ground-level waste room,supplementary,5804983,5802693,99.96055113339695,20,14,34,5802727,99.96113683709324,2256,-150,27.948034934497816,14.0,102.0,244.0,1213,64001
currently_effective_not_status_10,byg048AndetAreal,Other area,use component,5804983,5770237,99.40144527555033,856,1172,2028,5772265,99.43638077837609,32718,-6384,85.52552811834455,25.0,336.0,1136.0,22402,2971670
currently_effective_not_status_10,byg049ArealAfOverdækketAreal,Covered area,supplementary,5804983,5311966,91.50700355194839,6563,9412,15975,5327941,91.78219815630813,477042,-6000,20.924282529811347,15.0,48.0,145.0,7879,10316027
currently_effective_not_status_10,byg050ArealÅbneOverdækningerPåBygningenSamlet,Open covered area,supplementary,5804983,5804983,100.0,0,0,0,5804983,100.0,0,,,,,,,0
currently_effective_not_status_10,byg051Adgangsareal,Access area,supplementary,5804983,5785183,99.65891372980765,99,182,281,5785464,99.66375439859169,19519,-703,166.03868686868688,60.0,643.0,1596.0,28152,3287566
currently_effective_not_status_10,byg130ArealAfUdvendigEfterisolering,External insulation area,supplementary,5804983,5798310,99.88504703631345,569,10,579,5798889,99.89502122572969,6094,-161,26.855537239622358,8.0,125.0,278.0,623,179207
